Date,Close
9/13/2022 16:00:00,229.84
9/14/2022 16:00:00,231
9/15/2022 16:00:00,227.4
9/16/2022 16:00:00,225.71
9/19/2022 16:00:00,227.49
9/20/2022 16:00:00,225.22
9/21/2022 16:00:00,221.31
9/22/2022 16:00:00,219.13
9/23/2022 16:00:00,215.68
9/26/2022 16:00:00,214.24
9/27/2022 16:00:00,214.44
9/28/2022 16:00:00,217.79
9/29/2022 16:00:00,212.19
9/30/2022 16:00:00,208.55
10/3/2022 16:00:00,213.72
10/4/2022 16:00:00,220.33
10/5/2022 16:00:00,220.28
10/6/2022 16:00:00,218.41
10/7/2022 16:00:00,210.62
10/10/2022 16:00:00,208.44
10/11/2022 16:00:00,205.95
10/12/2022 16:00:00,205.65
10/13/2022 16:00:00,210.7
10/14/2022 16:00:00,204.56
10/17/2022 16:00:00,211.42
10/18/2022 16:00:00,213.69
10/19/2022 16:00:00,211.97
10/20/2022 16:00:00,210.42
10/21/2022 16:00:00,215.56
10/24/2022 16:00:00,218.29
10/25/2022 16:00:00,222.66
10/26/2022 16:00:00,217.99
10/27/2022 16:00:00,214.63
10/28/2022 16:00:00,220.31
10/31/2022 16:00:00,218.03
11/1/2022 16:00:00,215.58
11/2/2022 16:00:00,208.45
11/3/2022 16:00:00,204.69
11/4/2022 16:00:00,207.64
11/7/2022 16:00:00,209.95
11/8/2022 16:00:00,211.05
11/9/2022 16:00:00,206.1
11/10/2022 16:00:00,221.39
11/11/2022 16:00:00,225.03
11/14/2022 16:00:00,222.76
11/15/2022 16:00:00,225.26
11/16/2022 16:00:00,222.95
11/17/2022 16:00:00,221.98
11/18/2022 16:00:00,222.25
11/21/2022 16:00:00,220.02
11/22/2022 16:00:00,223.3
11/23/2022 16:00:00,225.54
11/25/2022 13:15:00,224.7
11/28/2022 16:00:00,220.75
11/29/2022 16:00:00,219.25
11/30/2022 16:00:00,228.9
12/1/2022 16:00:00,229.3
12/2/2022 16:00:00,228.64
12/5/2022 16:00:00,224.08
12/6/2022 16:00:00,219.87
12/7/2022 16:00:00,218.95
12/8/2022 16:00:00,221.32
12/9/2022 16:00:00,219.9
12/12/2022 16:00:00,222.73
12/13/2022 16:00:00,225.43
12/14/2022 16:00:00,223.84
12/15/2022 16:00:00,216.97
12/16/2022 16:00:00,213.91
12/19/2022 16:00:00,212.09
12/20/2022 16:00:00,211.47
12/21/2022 16:00:00,214.69
12/22/2022 16:00:00,210.86
12/23/2022 16:00:00,211.99
12/27/2022 16:00:00,210.38
12/28/2022 16:00:00,207.68
12/29/2022 16:00:00,211.35
12/30/2022 16:00:00,210.94
1/3/2023 16:00:00,208.32
1/4/2023 16:00:00,208.91
1/5/2023 16:00:00,206.5
1/6/2023 16:00:00,210.97
1/9/2023 16:00:00,211.06
1/10/2023 16:00:00,212.31
1/11/2023 16:00:00,215.22
1/12/2023 16:00:00,216
1/13/2023 16:00:00,216.9
1/17/2023 16:00:00,217.01
1/18/2023 16:00:00,214.13
1/19/2023 16:00:00,213.04
1/20/2023 16:00:00,217.23
1/23/2023 16:00:00,219.92
1/24/2023 16:00:00,219.77
1/25/2023 16:00:00,219.47
1/26/2023 16:00:00,222.43
1/27/2023 16:00:00,223.1
1/30/2023 16:00:00,219.56
1/31/2023 16:00:00,222.85
2/1/2023 16:00:00,225.36
2/2/2023 16:00:00,227.99
2/3/2023 16:00:00,226.43
2/6/2023 16:00:00,225.21
2/7/2023 16:00:00,228.85
2/8/2023 16:00:00,226.09
2/9/2023 16:00:00,224.54
2/10/2023 16:00:00,225.07
2/13/2023 16:00:00,227.42
2/14/2023 16:00:00,227.66
2/15/2023 16:00:00,228.39
2/16/2023 16:00:00,224.78
2/17/2023 16:00:00,223.87
2/21/2023 16:00:00,219.61
2/22/2023 16:00:00,219.53
2/23/2023 16:00:00,221.15
2/24/2023 16:00:00,218.39
2/27/2023 16:00:00,219.35
2/28/2023 16:00:00,218.29
3/1/2023 16:00:00,217.66
3/2/2023 16:00:00,219.17
3/3/2023 16:00:00,222.79
3/6/2023 16:00:00,223.63
3/7/2023 16:00:00,220.35
3/8/2023 16:00:00,220.84
3/9/2023 16:00:00,217.24
3/10/2023 16:00:00,214.24
3/13/2023 16:00:00,214.87
3/14/2023 16:00:00,218.71
3/15/2023 16:00:00,217.78
3/16/2023 16:00:00,221.71
3/17/2023 16:00:00,219.85
3/20/2023 16:00:00,222.14
3/21/2023 16:00:00,225.36
3/22/2023 16:00:00,222.21
3/23/2023 16:00:00,223.4
3/24/2023 16:00:00,223.78
3/27/2023 16:00:00,223.61
3/28/2023 16:00:00,222.87
3/29/2023 16:00:00,225.76
3/30/2023 16:00:00,227.07
3/31/2023 16:00:00,230.48
4/3/2023 16:00:00,232.05
4/4/2023 16:00:00,230.9
4/5/2023 16:00:00,230.14
4/6/2023 16:00:00,231.26
4/10/2023 16:00:00,231.15
4/11/2023 16:00:00,230.76
4/12/2023 16:00:00,229.76
4/13/2023 16:00:00,233.5
4/14/2023 16:00:00,232.87
4/17/2023 16:00:00,232.8
4/18/2023 16:00:00,233.05
4/19/2023 16:00:00,232.94
4/20/2023 16:00:00,231.72
4/21/2023 16:00:00,231.79
4/24/2023 16:00:00,232.14
4/25/2023 16:00:00,228.58
4/26/2023 16:00:00,227.98
4/27/2023 16:00:00,231.82
4/28/2023 16:00:00,233.85
5/1/2023 16:00:00,233.88
5/2/2023 16:00:00,231.34
5/3/2023 16:00:00,229.94
5/4/2023 16:00:00,228.57
5/5/2023 16:00:00,233.26
5/8/2023 16:00:00,233.64
5/9/2023 16:00:00,232.43
5/10/2023 16:00:00,233.97
5/11/2023 16:00:00,234.14
5/12/2023 16:00:00,234.02
5/15/2023 16:00:00,234.21
5/16/2023 16:00:00,233.38
5/17/2023 16:00:00,235.88
5/18/2023 16:00:00,238.33
5/19/2023 16:00:00,238.3
5/22/2023 16:00:00,238.33
5/23/2023 16:00:00,235.58
5/24/2023 16:00:00,234.17
5/25/2023 16:00:00,237.81
5/26/2023 16:00:00,240.96
5/30/2023 16:00:00,241.09
5/31/2023 16:00:00,239.96
6/1/2023 16:00:00,242.39
6/2/2023 16:00:00,245.29
6/5/2023 16:00:00,245.06
6/6/2023 16:00:00,244.97
6/7/2023 16:00:00,242.96
6/8/2023 16:00:00,245.03
6/9/2023 16:00:00,245.7
6/12/2023 16:00:00,248.24
6/13/2023 16:00:00,249.92
6/14/2023 16:00:00,250.06
6/15/2023 16:00:00,252.86
6/16/2023 16:00:00,251.87
6/20/2023 16:00:00,251.24
6/21/2023 16:00:00,249.73
6/22/2023 16:00:00,251.66
6/23/2023 16:00:00,249.61
6/26/2023 16:00:00,247.51
6/27/2023 16:00:00,250.25
6/28/2023 16:00:00,250.47
6/29/2023 16:00:00,250.62
6/30/2023 16:00:00,254.09
7/3/2023 13:15:00,254.11
7/5/2023 16:00:00,253.76
7/6/2023 16:00:00,251.85
7/7/2023 16:00:00,250.87
7/10/2023 16:00:00,250.82
7/11/2023 16:00:00,251.65
7/12/2023 16:00:00,253.65
7/13/2023 16:00:00,256.25
7/14/2023 16:00:00,256.83
7/17/2023 16:00:00,258.44
7/18/2023 16:00:00,260.17
7/19/2023 16:00:00,260.05
7/20/2023 16:00:00,257.68
7/21/2023 16:00:00,257.85
7/24/2023 16:00:00,259.13
7/25/2023 16:00:00,260.3
7/26/2023 16:00:00,260.14
7/27/2023 16:00:00,258.46
7/28/2023 16:00:00,261.47
7/31/2023 16:00:00,261.87
8/1/2023 16:00:00,261.15
8/2/2023 16:00:00,257.15
8/3/2023 16:00:00,256.68
8/4/2023 16:00:00,254.53
8/7/2023 16:00:00,256.3
8/8/2023 16:00:00,255.66
8/9/2023 16:00:00,253.93
8/10/2023 16:00:00,254.04
8/11/2023 16:00:00,253.7
8/14/2023 16:00:00,255.95
8/15/2023 16:00:00,253.27
8/16/2023 16:00:00,251.39
8/17/2023 16:00:00,249.87
8/18/2023 16:00:00,249.76
8/21/2023 16:00:00,252.68
8/22/2023 16:00:00,252.19
8/23/2023 16:00:00,255.33
8/24/2023 16:00:00,251.26
8/25/2023 16:00:00,253.16
8/28/2023 16:00:00,254.78
8/29/2023 16:00:00,259
8/30/2023 16:00:00,260.65
8/31/2023 16:00:00,260.14
9/1/2023 16:00:00,260.46
9/5/2023 16:00:00,260.36
9/6/2023 16:00:00,257.47
9/7/2023 16:00:00,256.47
9/8/2023 16:00:00,256.84
9/11/2023 16:00:00,258.6
9/12/2023 16:00:00,256.5